Title Runtime Season/Episode number
Rose, 45 minutes, Series 1 episode 1
The End of the World, 45 minutes, Series 1 Episode 2
The Unquiet Dead, 45 minutes, Series 1 Episode 3
Aliens of London, 45 minutes, Series 1 Episode 4
World War Three, 45 minutes, Series 1 Episode 5
Dalek, 45 minutes, Series 1 Episode 6
The Long Game, 45 minutes, Series 1 Episode 7
Father's Day, 45 minutes, Series 1 Episode 8
The Empty Child, 45 minutes, Series 1 Episode 9
The Doctor Dances, 45 minutes, Series 1 Episode 10
Boom Town, 45 minutes, Series 1 Episode 11
Bad Wolf, 45 minutes, Series 1 Episode 12
The Parting of the Ways, 45 minutes, Series 1 Episode 13
The Christmas Invasion, 45 minutes, Series 2 Special
New Earth, 45 minutes, Series 2 Episode 1
Tooth and Claw, 45 minutes, Series 2 Episode 2
School Reunion, 45 minutes, Series 2 Episode 3
The Girl in the Fireplace, 45 minutes, Series 2 Episode 4
Rise of the Cybermen, 45 minutes, Series 2 Episode 5
The Age of Steel, 45 minutes, Series 2 Episode 6
The Idiot's Lantern, 45 minutes, Series 2 Episode 7
The Impossible Planet, 45 minutes, Series 2 Episode 8
The Satan Pit, 45 minutes, Series 2 Episode 9
Love & Monsters, 45 minutes, Series 2 Episode 10
Fear Her, 45 minutes, Series 2 Episode 11
Army of Ghosts, 45 minutes, Series 2 Episode 12
Doomsday, 45 minutes, Series 2 Episode 13
The Runaway Bride, 45 minutes, Series 3 Special
Smith and Jones, 45 minutes, Series 3 Episode 1
The Shakespeare Code, 45 minutes, Series 3 Episode 2
Gridlock, 45 minutes, Series 3 Episode 3
Daleks in Manhattan, 45 minutes, Series 3 Episode 4
Evolution of the Daleks, 45 minutes, Series 3 Episode 5
The Lazarus Experiment, 45 minutes, Series 3 Episode 6
42,  45 minutes, Series 3 Episode 7
Human Nature, 45 minutes, Series 3 Episode 8
The Family of Blood, 45 minutes, Series 3 Episode 9
Blink,  45 minutes, Series 3 Episode 10
Utopia, 45 minutes, Series 3 Episode 11
The Sound of Drums, 45 minutes, Series 3 Episode 12
Last of the Time Lords, 45 minutes, Series 3 Episode 13
Voyage of the Damned, 45 minutes, Series 4 Special
Partners in Crime, 45 minutes, Series 4 Episode 1
The Fires of Pompeii, 45 minutes, Series 4 Episode 2
Planet of the Ood, 45 minutes, Series 4 Episode 3
The Sontaran Stratagem, 45 minutes, Series 4 Episode 4
The Poison Sky, 45 minutes, Series 4 Episode 5
The Doctor's Daughter, 45 minutes, Series 4 Episode 6
The Unicorn and the Wasp, 45 minutes, Series 4 Episode 7
Silence in the Library, 45 minutes, Series 4 Episode 8
Forest of the Dead, 45 minutes, Series 4 Episode 9
Midnight, 45 minutes, Series 4 Episode 10
Turn Left, 45 minutes, Series 4 Episode 11
The Stolen Earth, 45 minutes, Series 4 Episode 12
Journey's End, 45 minutes, Series 4 Episode 13
